Ranking per year,Released,Title,Source,"Production
Budget","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
55,"Apr 4, 2008",Nim's Island,Based on Fiction Book/Short Story,"$37,000,000","$13,210,579","$48,006,762","$60,911,091","$53,850,663","$101,857,425"
56,"May 2, 2008",Made of Honor,Original Screenplay,"$40,000,000","$14,756,850","$46,012,734","$58,381,052","$60,536,004","$106,548,738"
57,"Aug 6, 2008",The Sisterhood of the Traveling Pants 2,Based on Fiction Book/Short Story,"$27,000,000","$10,678,430","$44,089,964","$55,941,449","$180,167","$44,270,131"
58,"May 9, 2008",Speed Racer,Based on TV,"$120,000,000","$18,561,337","$43,945,766","$55,758,484","$49,448,696","$93,394,462"
59,"Apr 11, 2008",Prom Night,Remake,"$18,000,000","$20,804,941","$43,869,350","$55,661,526","$13,324,305","$57,193,655"
60,"Jan 25, 2008",Rambo,Based on Fiction Book/Short Story,"$47,500,000","$18,203,876","$42,754,105","$54,246,506","$69,460,426","$112,214,531"
61,"Feb 8, 2008",Welcome Home Roscoe Jenkins,Original Screenplay,"$27,500,000","$16,207,730","$42,436,517","$53,843,544","$1,171,110","$43,607,627"
62,"Mar 21, 2008",Meet the Browns,Based on Play,"$20,000,000","$20,082,809","$41,975,388","$53,258,463",$0,"$41,975,388"
63,"Oct 17, 2008",Max Payne,Based on Game,"$35,000,000","$17,639,849","$40,689,393","$51,626,133","$47,085,657","$87,775,050"
64,"Sep 12, 2008",Righteous Kill,Original Screenplay,"$60,000,000","$16,288,361","$40,081,410","$50,855,382","$38,400,000","$78,481,410"
65,"Oct 10, 2008",Body of Lies,Based on Fiction Book/Short Story,"$67,500,000","$12,884,416","$39,394,666","$49,979,747","$79,161,864","$118,556,530"
66,"Sep 19, 2008",Lakeview Terrace,Original Screenplay,"$20,000,000","$15,004,672","$39,263,506","$49,817,616","$5,557,793","$44,821,299"
67,"Jan 25, 2008",Meet the Spartans,Original Screenplay,"$30,000,000","$18,505,530","$38,233,676","$48,510,978","$46,413,155","$84,646,831"
68,"Aug 22, 2008",Death Race,Remake,"$65,000,000","$12,621,090","$36,316,032","$46,077,861","$36,200,787","$72,516,819"
69,"Oct 24, 2008",Changeling,Original Screenplay,"$55,000,000","$489,015","$35,739,802","$45,344,979","$78,065,778","$113,805,580"
70,"Dec 10, 2008",The Reader,Based on Fiction Book/Short Story,"$32,500,000","$168,051","$34,194,407","$41,727,171","$78,770,468","$112,964,875"
71,"Feb 29, 2008",Semi-Pro,Original Screenplay,"$55,000,000","$15,075,114","$33,479,698","$42,479,119","$10,500,665","$43,980,363"
72,"Dec 12, 2008",Doubt,Based on Play,"$20,000,000","$507,226","$33,446,470","$41,638,940","$19,744,631","$53,191,101"
73,"Mar 21, 2008",Drillbit Taylor,Original Screenplay,"$40,000,000","$10,309,986","$32,862,104","$41,695,513","$16,824,159","$49,686,263"
74,"Jun 20, 2008",The Love Guru,Original Screenplay,"$62,000,000","$13,907,130","$32,235,793","$40,900,848","$7,923,224","$40,159,017"
75,"Nov 26, 2008",Milk,Based on Real Life Events,"$20,000,000","$1,453,844","$31,841,299","$39,605,415","$25,452,072","$57,293,371"
76,"Nov 26, 2008",Transporter 3,Original Screenplay,"$40,000,000","$12,063,452","$31,715,062","$40,240,145","$81,215,895","$112,930,957"
77,"Oct 31, 2008",Zack and Miri Make a Porno,Original Screenplay,"$24,000,000","$10,065,630","$31,457,946","$39,905,398","$5,398,360","$36,856,306"
78,"Apr 4, 2008",Leatherheads,Original Screenplay,"$58,000,000","$12,682,595","$31,373,938","$39,807,320","$9,974,690","$41,348,628"
79,"Aug 15, 2008",Mirrors,Remake,"$35,000,000","$11,161,074","$30,691,439","$38,941,369","$46,529,157","$77,220,596"
80,"Jul 18, 2008",Space Chimps,Original Screenplay,"$37,000,000","$7,181,374","$30,105,968","$38,198,522","$36,923,988","$67,029,956"
81,"Mar 7, 2008",The Bank Job,Based on Real Life Events,"$20,000,000","$5,935,256","$30,060,660","$38,141,028","$36,082,345","$66,143,005"
82,"Jan 25, 2008",Untraceable,Original Screenplay,"$35,000,000","$11,354,069","$28,687,835","$36,399,187","$23,962,116","$52,649,951"
83,"Sep 12, 2008",The Women,Original Screenplay,"$16,000,000","$10,155,121","$26,902,075","$34,133,412","$23,201,733","$50,103,808"
84,"Jan 4, 2008",One Missed Call,Remake,"$20,000,000","$12,511,473","$26,890,041","$34,118,143","$17,623,425","$44,513,466"
85,"Feb 29, 2008",The Other Boleyn Girl,Based on Fiction Book/Short Story,"$40,000,000","$8,203,061","$26,814,957","$34,022,871","$51,455,013","$78,269,970"
86,"Mar 28, 2008",Superhero Movie,Original Screenplay,"$35,000,000","$9,510,297","$26,638,520","$32,829,033","$46,387,782","$73,026,302"
87,"Apr 11, 2008",Street Kings,Original Screenplay,"$20,000,000","$12,469,631","$26,418,667","$33,520,063","$39,039,144","$65,457,811"
88,"Oct 17, 2008",W.,Based on Real Life Events,"$25,100,000","$10,505,668","$25,534,493","$32,398,221","$3,041,285","$28,575,778"
89,"Mar 14, 2008",Never Back Down,Original Screenplay,"$21,000,000","$8,603,195","$24,850,922","$31,530,903","$14,468,879","$39,319,801"
90,"Aug 27, 2008",Traitor,Original Screenplay,"$22,000,000","$7,868,465","$23,530,831","$29,855,966","$4,351,395","$27,882,226"
91,"Aug 15, 2008",Vicky Cristina Barcelona,Original Screenplay,"$16,000,000","$3,755,575","$23,216,709","$29,436,505","$81,288,108","$104,504,817"
92,"Dec 26, 2008",Revolutionary Road,Based on Fiction Book/Short Story,"$45,000,000","$189,911","$22,951,340","$27,952,696","$56,653,480","$79,604,820"
93,"Aug 29, 2008",Babylon A.D.,Based on Fiction Book/Short Story,"$45,000,000","$9,484,627","$22,532,572","$28,589,376","$47,683,925","$70,216,497"
94,"Jul 25, 2008",The X-Files: I Want to Believe,Based on TV,"$35,000,000","$10,021,753","$20,982,478","$26,622,618","$47,188,314","$68,170,792"
95,"Jan 18, 2008",Mad Money,Remake,"$22,000,000","$7,736,452","$20,668,843","$26,224,665","$4,375,214","$25,044,057"
96,"Sep 19, 2008",Appaloosa,Based on Fiction Book/Short Story,"$20,000,000","$248,847","$20,211,394","$25,637,180","$7,700,059","$27,911,453"
97,"Dec 25, 2008",The Spirit,Based on Comic/Graphic Novel,"$60,000,000","$6,463,278","$19,806,188","$25,018,483","$19,200,000","$39,006,188"
98,"Sep 19, 2008",Igor,Original Screenplay,"$22,000,000","$7,803,347","$19,528,602","$24,773,534","$11,484,747","$31,013,349"
99,"Sep 19, 2008",My Best Friend's Girl,Original Screenplay,"$20,000,000","$8,265,357","$19,219,250","$24,385,429","$15,567,861","$34,787,111"
100,"Dec 5, 2008",Frost/Nixon,Based on Play,"$29,000,000","$180,708","$18,622,031","$22,960,133","$9,830,914","$28,452,945"
1,"Dec 18, 2009",Avatar,Original Screenplay,"$237,000,000","$77,025,481","$760,507,625","$899,243,135","$2,029,197,650","$2,789,705,275"
2,"Jun 24, 2009",Transformers: Revenge of the Fallen,Based on TV,"$210,000,000","$108,966,307","$402,111,870","$488,431,885","$434,407,829","$836,519,699"
3,"Jul 15, 2009",Harry Potter and the Half-Blood Prince,Based on Fiction Book/Short Story,"$250,000,000","$77,835,727","$302,089,278","$366,779,769","$633,124,489","$935,213,767"
4,"Nov 20, 2009",The Twilight Saga: New Moon,Based on Fiction Book/Short Story,"$50,000,000","$142,839,137","$296,623,634","$359,778,351","$390,934,093","$687,557,727"
5,"May 29, 2009",Up,Original Screenplay,"$175,000,000","$68,108,790","$293,004,164","$355,902,392","$438,459,213","$731,463,377"
6,"Jun 5, 2009",The Hangover,Original Screenplay,"$35,000,000","$44,979,319","$277,322,503","$336,854,403","$188,441,583","$465,764,086"
7,"May 8, 2009",Star Trek,Based on TV,"$140,000,000","$79,204,289","$257,730,019","$313,056,067","$129,109,595","$386,839,614"
8,"Nov 20, 2009",The Blind Side,Based on Factual Book/Article,"$35,000,000","$34,119,372","$255,959,475","$308,054,513","$49,746,319","$305,705,794"
9,"Dec 23, 2009",Alvin and the Chipmunks: The Squeakquel,Based on TV,"$70,000,000","$48,875,415","$219,614,612","$262,934,105","$223,868,601","$443,483,213"
10,"Dec 25, 2009",Sherlock Holmes,Based on Fiction Book/Short Story,"$90,000,000","$62,304,277","$209,028,679","$249,678,526","$289,409,533","$498,438,212"
11,"Mar 27, 2009",Monsters vs. Aliens,Based on Comic/Graphic Novel,"$175,000,000","$59,321,095","$198,351,526","$240,930,986","$183,335,854","$381,687,380"
12,"Jul 1, 2009",Ice Age: Dawn of the Dinosaurs,Original Screenplay,"$90,000,000","$41,690,382","$196,573,705","$238,771,524","$663,128,152","$859,701,857"
13,"May 1, 2009",X-Men Origins: Wolverine,Spin-Off,"$150,000,000","$85,058,003","$179,883,157","$218,498,075","$194,942,603","$374,825,760"
14,"May 22, 2009",Night at the Museum: Battle of the Sm…,Based on Fiction Book/Short Story,"$150,000,000","$54,173,286","$177,243,721","$215,292,039","$224,987,342","$402,231,063"
15,"Nov 13, 2009",2012,Original Screenplay,"$200,000,000","$65,237,614","$166,112,167","$201,610,604","$591,565,581","$757,677,748"
16,"Jun 19, 2009",The Proposal,Original Screenplay,"$40,000,000","$33,627,598","$163,958,031","$199,154,357","$150,751,686","$314,709,717"
17,"Apr 3, 2009",Fast & Furious,Based on Factual Book/Article,"$85,000,000","$70,950,500","$155,064,265","$188,351,391","$208,000,000","$363,064,265"
18,"Aug 7, 2009",G.I. Joe: The Rise of Cobra,Based on Toy,"$175,000,000","$54,713,046","$150,201,498","$182,444,749","$152,267,519","$302,469,017"
19,"Jan 16, 2009",Paul Blart: Mall Cop,Original Screenplay,"$26,000,000","$31,832,636","$146,336,178","$177,749,674","$39,568,572","$185,904,750"
20,"Jan 30, 2009",Taken,Original Screenplay,"$25,000,000","$24,717,037","$145,000,989","$176,127,866","$81,940,596","$226,941,585"
21,"Nov 6, 2009",Disney’s A Christmas Carol,Remake,"$190,000,000","$30,051,075","$137,855,863","$167,424,190","$177,853,834","$315,709,697"
22,"May 15, 2009",Angels & Demons,Based on Fiction Book/Short Story,"$150,000,000","$46,204,168","$133,375,846","$162,007,193","$357,500,000","$490,875,846"
23,"May 21, 2009",Terminator Salvation,Original Screenplay,"$200,000,000","$42,558,390","$125,322,469","$152,225,030","$240,169,323","$365,491,792"
24,"Sep 18, 2009",Cloudy with a Chance of Meatballs,Based on Fiction Book/Short Story,"$100,000,000","$30,304,648","$124,870,275","$151,639,412","$111,957,402","$236,827,677"
25,"Aug 21, 2009",Inglourious Basterds,Original Screenplay,"$70,000,000","$38,054,676","$120,774,594","$146,700,872","$196,140,670","$316,915,264"
26,"Jul 24, 2009",G-Force,Original Screenplay,"$150,000,000","$31,706,934","$119,436,770","$145,075,866","$173,381,071","$292,817,841"
27,"Aug 14, 2009",District 9,Original Screenplay,"$30,000,000","$37,354,308","$115,646,235","$140,471,627","$96,807,196","$212,453,431"
28,"Dec 25, 2009",It’s Complicated,Original Screenplay,"$85,000,000","$22,100,820","$112,735,375","$133,720,342","$111,879,369","$224,614,744"
29,"Oct 9, 2009",Couples Retreat,Original Screenplay,"$60,000,000","$34,286,740","$109,205,660","$132,606,809","$63,244,763","$172,450,423"
30,"Mar 6, 2009",Watchmen,Based on Comic/Graphic Novel,"$138,000,000","$55,214,334","$107,509,799","$130,588,570","$79,466,451","$186,976,250"
31,"Nov 25, 2009",The Princess and the Frog,Based on Fiction Book/Short Story,"$105,000,000","$786,190","$104,400,899","$125,699,042","$166,596,479","$270,997,378"
32,"Jul 1, 2009",Public Enemies,Based on Fiction Book/Short Story,"$102,500,000","$25,271,675","$97,104,620","$117,949,739","$115,178,089","$212,282,709"
33,"Aug 7, 2009",Julie & Julia,Based on Fiction Book/Short Story,"$40,000,000","$20,027,956","$94,125,426","$114,331,010","$37,390,752","$131,516,178"
34,"Feb 6, 2009",He's Just Not That Into You,Based on Fiction Book/Short Story,"$40,000,000","$27,785,487","$93,953,653","$114,122,373","$87,100,004","$181,053,657"
35,"Feb 20, 2009",Madea Goes To Jail,Based on Play,"$17,500,000","$41,030,947","$90,508,336","$109,937,458",$0,"$90,508,336"
36,"Jul 24, 2009",The Ugly Truth,Original Screenplay,"$38,000,000","$27,605,576","$88,915,214","$108,002,339","$116,383,693","$205,298,907"
37,"Dec 4, 2009",Up in the Air,Based on Fiction Book/Short Story,"$30,000,000","$1,181,450","$83,823,381","$99,448,978","$83,019,358","$166,842,739"
38,"Mar 20, 2009",Knowing,Based on Fiction Book/Short Story,"$50,000,000","$24,604,751","$79,957,634","$97,121,865","$106,492,683","$186,450,317"
39,"Apr 10, 2009",Hannah Montana the Movie,Based on TV,"$30,000,000","$32,324,487","$79,576,189","$96,658,548","$89,597,017","$169,173,206"
40,"Oct 16, 2009",Where the Wild Things Are,Based on Fiction Book/Short Story,"$100,000,000","$32,695,407","$77,233,467","$93,772,865","$21,890,189","$99,123,656"
41,"Oct 2, 2009",Zombieland,Original Screenplay,"$23,600,000","$24,733,155","$75,590,286","$91,816,993","$26,646,310","$102,236,596"
42,"Feb 6, 2009",Coraline,Based on Fiction Book/Short Story,"$60,000,000","$16,849,640","$75,286,229","$91,447,665","$50,750,828","$126,037,057"
43,"Oct 16, 2009",Law Abiding Citizen,Original Screenplay,"$53,000,000","$21,039,502","$73,357,727","$89,079,420","$57,802,054","$131,159,781"
44,"Jan 16, 2009",Hotel for Dogs,Based on Fiction Book/Short Story,"$35,000,000","$17,012,212","$73,178,547","$88,887,545","$49,178,625","$122,357,172"
45,"Oct 28, 2009",Michael Jackson's This Is It,Based on Real Life Events,"$60,000,000","$23,234,394","$72,091,016","$87,566,550","$180,000,000","$252,091,016"
46,"Mar 20, 2009","I Love You, Man",Original Screenplay,"$40,000,000","$17,810,270","$72,013,010","$87,471,806","$20,289,492","$92,302,502"
47,"Apr 24, 2009",Obsessed,Original Screenplay,"$20,000,000","$28,612,730","$68,261,644","$82,915,139","$5,703,069","$73,964,713"
48,"Mar 13, 2009",Race to Witch Mountain,Based on Fiction Book/Short Story,"$50,000,000","$24,402,214","$67,172,595","$81,592,312","$37,931,189","$105,103,784"
49,"Aug 28, 2009",The Final Destination,Original Screenplay,"$40,000,000","$27,408,309","$66,477,700","$80,748,243","$120,906,927","$187,384,627"
50,"Jun 12, 2009",The Taking of Pelham 123,Remake,"$110,000,000","$23,373,102","$65,452,312","$79,502,733","$86,912,058","$152,364,370"
51,"Feb 13, 2009",Friday the 13th,Remake,"$17,000,000","$40,570,365","$65,002,019","$78,955,787","$27,668,218","$92,670,237"
52,"Apr 17, 2009",17 Again,Original Screenplay,"$40,000,000","$23,722,310","$64,167,069","$77,941,598","$75,307,837","$139,474,906"
53,"Aug 14, 2009",The Time Traveler's Wife,Based on Fiction Book/Short Story,"$39,000,000","$18,623,171","$63,414,846","$77,027,901","$38,917,289","$102,332,135"
54,"Jul 10, 2009",Brüno,Based on TV,"$42,000,000","$30,619,130","$60,054,530","$72,946,230","$78,653,997","$138,708,527"
55,"Jan 9, 2009",Bride Wars,Original Screenplay,"$30,000,000","$21,058,173","$58,715,510","$71,319,776","$56,434,914","$115,150,424"
56,"Jul 31, 2009",Funny People,Original Screenplay,"$72,500,000","$22,657,780","$51,855,045","$62,986,595","$20,025,260","$71,880,305"
57,"Sep 11, 2009",I Can Do Bad All By Myself,Based on Play,"$19,000,000","$23,446,785","$51,733,921","$62,839,468",$0,"$51,733,921"
58,"Nov 25, 2009",Old Dogs,Original Screenplay,"$35,000,000","$16,894,511","$49,492,060","$59,981,115","$45,612,244","$95,104,304"
59,"Jun 5, 2009",Land of the Lost,Based on TV,"$100,000,000","$18,837,350","$49,438,370","$60,051,134","$20,110,271","$69,548,641"
60,"Jun 26, 2009",My Sister's Keeper,Based on Fiction Book/Short Story,"$27,500,000","$12,442,212","$49,200,230","$59,761,882","$47,472,772","$96,673,002"
61,"Jan 23, 2009",Underworld 3: Rise of the Lycans,Original Screenplay,"$35,000,000","$20,828,511","$45,802,315","$55,634,542","$43,300,000","$89,102,315"
62,"Dec 11, 2009",The Lovely Bones,Based on Fiction Book/Short Story,"$95,000,000","$116,616","$44,114,232","$50,958,443","$50,780,216","$94,894,448"
63,"Jun 19, 2009",Year One,Original Screenplay,"$60,000,000","$19,610,304","$43,337,279","$52,640,340","$14,267,444","$57,604,723"
64,"Jan 9, 2009",The Unborn,Original Screenplay,"$16,000,000","$19,810,585","$42,670,410","$51,830,325","$35,538,402","$78,208,812"
65,"Nov 20, 2009",Planet 51,Original Screenplay,"$60,000,000","$12,286,129","$42,194,060","$51,094,191","$66,802,053","$108,996,113"
66,"May 29, 2009",Drag Me To Hell,Original Screenplay,"$30,000,000","$15,825,480","$42,100,625","$51,138,220","$49,287,862","$91,388,487"
67,"Jul 24, 2009",Orphan,Original Screenplay,"$20,000,000","$12,871,483","$41,596,251","$50,525,581","$37,173,177","$78,769,428"
68,"Mar 20, 2009",Duplicity,Original Screenplay,"$60,000,000","$13,965,110","$40,572,825","$49,282,458","$40,506,741","$81,079,566"
69,"Sep 25, 2009",Surrogates,Based on Comic/Graphic Novel,"$80,000,000","$14,902,692","$38,577,772","$46,859,134","$81,090,578","$119,668,350"
70,"Nov 25, 2009",Ninja Assassin,Original Screenplay,"$50,000,000","$13,316,158","$38,122,883","$46,268,770","$24,087,009","$62,209,892"
71,"Dec 11, 2009",Invictus,Based on Factual Book/Article,"$60,000,000","$8,611,147","$37,491,364","$45,124,937","$87,022,647","$124,514,011"
72,"Apr 17, 2009",State of Play,Based on TV,"$60,000,000","$14,071,280","$37,017,955","$44,964,473","$51,814,255","$88,832,210"
73,"Jan 16, 2009",Notorious,Based on Real Life Events,"$19,000,000","$20,497,596","$36,843,682","$44,752,793","$8,128,501","$44,972,183"
74,"Sep 4, 2009",All About Steve,Original Screenplay,"$15,000,000","$11,241,214","$33,862,903","$41,132,142","$6,264,356","$40,127,259"
75,"Aug 28, 2009",Halloween 2,Original Screenplay,"$15,000,000","$16,349,565","$33,392,973","$40,561,328","$5,119,877","$38,512,850"
76,"Sep 18, 2009",The Informant!,Based on Factual Book/Article,"$22,000,000","$10,464,314","$33,316,821","$40,468,834","$8,454,347","$41,771,168"
77,"Mar 13, 2009",The Last House on the Left,Remake,"$15,000,000","$14,118,685","$32,752,215","$39,783,024","$13,774,028","$46,526,243"
78,"Nov 6, 2009",The Men Who Stare at Goats,Based on Fiction Book/Short Story,"$24,000,000","$12,706,654","$32,428,195","$39,364,838","$34,920,023","$67,348,218"
79,"Apr 22, 2009",Earth,Based on TV,"$47,000,000","$8,825,760","$32,011,576","$38,883,393","$84,761,741","$116,773,317"
80,"Apr 24, 2009",The Soloist,Based on Real Life Events,"$60,000,000","$9,716,458","$31,853,584","$38,691,491","$6,668,866","$38,522,450"
81,"Feb 6, 2009",Push,Original Screenplay,"$38,000,000","$10,079,109","$31,811,527","$38,640,393","$17,866,874","$49,678,401"
82,"Sep 9, 2009",9,Original Screenplay,"$30,000,000","$10,740,446","$31,749,894","$38,565,536","$16,810,105","$48,559,999"
83,"Dec 18, 2009",Did You Hear About the Morgans?,Original Screenplay,"$58,000,000","$6,616,571","$29,580,087","$35,673,712","$50,900,479","$80,480,566"
84,"Oct 16, 2009",The Stepfather,Remake,"$20,000,000","$11,581,586","$29,062,561","$35,301,323","$165,000","$29,227,561"
85,"Jan 16, 2009",Defiance,Original Screenplay,"$50,000,000","$123,513","$28,644,813","$34,550,222","$24,342,941","$52,987,754"
86,"Dec 4, 2009",Brothers,Remake,"$26,000,000","$9,527,848","$28,544,157","$34,603,825","$16,499,713","$45,043,870"
87,"May 22, 2009",Dance Flick,Original Screenplay,"$25,000,000","$10,643,536","$25,794,018","$31,331,130","$6,430,606","$32,224,624"
88,"Feb 13, 2009",The International,Original Screenplay,"$50,000,000","$9,331,739","$25,450,527","$30,913,901","$28,400,000","$53,850,527"
89,"Jul 31, 2009",Aliens in the Attic,Original Screenplay,"$45,000,000","$8,008,423","$25,200,412","$30,610,101","$34,350,871","$59,551,283"
90,"Apr 10, 2009",Observe and Report,Original Screenplay,"$18,000,000","$11,017,334","$24,007,324","$29,160,900","$3,141,574","$27,148,898"
91,"Apr 24, 2009",Fighting,Original Screenplay,"$25,000,000","$11,024,370","$23,091,010","$28,047,877","$9,740,697","$32,831,707"
92,"Sep 18, 2009",Love Happens,Original Screenplay,"$18,000,000","$8,057,010","$22,965,110","$27,894,948","$13,167,904","$36,133,014"
93,"Sep 25, 2009",Fame,Remake,"$18,000,000","$10,011,682","$22,455,510","$27,275,959","$57,772,109","$80,227,619"
94,"Nov 13, 2009",Fantastic Mr. Fox,Based on Fiction Book/Short Story,"$40,000,000","$265,900","$21,002,919","$25,398,689","$26,080,493","$47,083,412"
95,"Aug 21, 2009",Shorts,Original Screenplay,"$20,000,000","$6,410,339","$20,919,166","$25,409,812","$8,951,635","$29,870,801"
96,"Sep 4, 2009",Gamer,Original Screenplay,"$50,000,000","$9,156,057","$20,534,907","$24,943,071","$21,467,122","$42,002,029"
97,"Dec 18, 2009",Nine,Based on Musical or Opera,"$80,000,000","$257,232","$19,676,965","$23,544,841","$37,307,254","$56,984,219"
98,"Oct 23, 2009",Astro Boy,Based on Comic/Graphic Novel,"$65,000,000","$6,702,923","$19,551,067","$23,742,099","$22,085,176","$41,636,243"
99,"Oct 2, 2009",The Invention of Lying,Original Screenplay,"$18,500,000","$7,027,472","$18,451,251","$22,412,121","$14,263,567","$32,714,818"
100,"Jan 23, 2009",Inkheart,Based on Fiction Book/Short Story,"$60,000,000","$7,601,379","$17,303,424","$21,017,891","$49,352,514","$66,655,938"
1,"Jun 18, 2010",Toy Story 3,Original Screenplay,"$200,000,000","$110,307,189","$415,004,880","$479,175,469","$653,874,642","$1,068,879,522"
2,"Mar 5, 2010",Alice in Wonderland,Based on Fiction Book/Short Story,"$200,000,000","$116,101,023","$334,191,110","$385,865,775","$691,300,000","$1,025,491,110"
3,"May 7, 2010",Iron Man 2,Based on Comic/Graphic Novel,"$170,000,000","$128,122,480","$312,433,331","$360,743,683","$308,723,058","$621,156,389"
4,"Jun 30, 2010",The Twilight Saga: Eclipse,Based on Fiction Book/Short Story,"$68,000,000","$64,832,191","$300,531,751","$347,001,804","$405,571,077","$706,102,828"
5,"Nov 19, 2010",Harry Potter and the Deathly Hallows:…,Based on Fiction Book/Short Story,"$125,000,000","$125,017,372","$296,131,568","$341,677,546","$664,300,000","$960,431,568"
6,"Jul 16, 2010",Inception,Original Screenplay,"$160,000,000","$62,785,337","$292,576,195","$337,816,073","$542,173,679","$834,749,874"
7,"Jul 9, 2010",Despicable Me,Original Screenplay,"$69,000,000","$56,397,125","$251,513,985","$290,402,804","$291,950,588","$543,464,573"
8,"May 21, 2010",Shrek Forever After,Based on Fiction Book/Short Story,"$165,000,000","$70,838,207","$238,736,787","$275,651,719","$517,507,886","$756,244,673"
9,"Mar 26, 2010",How to Train Your Dragon,Based on Fiction Book/Short Story,"$165,000,000","$43,732,319","$217,581,232","$251,224,967","$277,289,760","$494,870,992"
10,"Nov 24, 2010",Tangled,Based on Folk Tale/Legend/Fairytale,"$260,000,000","$48,767,052","$200,821,936","$231,682,049","$385,655,304","$586,477,240"
11,"Jun 11, 2010",The Karate Kid,Remake,"$40,000,000","$55,665,805","$176,591,618","$203,897,296","$175,183,320","$351,774,938"
12,"Dec 17, 2010",Tron: Legacy,Original Screenplay,"$200,000,000","$44,026,211","$172,062,763","$198,430,777","$228,000,000","$400,062,763"
13,"Dec 22, 2010",True Grit,Based on Fiction Book/Short Story,"$35,000,000","$24,830,443","$171,243,005","$197,229,086","$81,033,923","$252,276,928"
14,"Apr 1, 2010",Clash of the Titans,Remake,"$125,000,000","$61,235,105","$163,214,888","$188,452,175","$330,000,000","$493,214,888"
15,"Jun 25, 2010",Grown Ups,Original Screenplay,"$75,000,000","$40,506,564","$162,001,186","$187,050,802","$110,222,244","$272,223,430"
16,"Dec 22, 2010",Little Fockers,Original Screenplay,"$100,000,000","$30,833,665","$148,438,600","$171,123,980","$162,211,974","$310,650,574"
17,"Nov 5, 2010",Megamind,Original Screenplay,"$130,000,000","$46,016,833","$148,415,853","$171,340,206","$173,471,355","$321,887,208"
18,"Nov 26, 2010",The King’s Speech,Original Screenplay,"$15,000,000","$355,450","$138,797,449","$159,584,343","$292,023,719","$430,821,168"
19,"Jul 1, 2010",The Last Airbender,Based on TV,"$150,000,000","$40,325,019","$131,772,187","$152,147,604","$187,941,694","$319,713,881"
20,"Feb 19, 2010",Shutter Island,Based on Fiction Book/Short Story,"$80,000,000","$41,062,440","$128,012,934","$147,807,072","$171,448,848","$299,461,782"
21,"Aug 6, 2010",The Other Guys,Original Screenplay,"$100,000,000","$35,543,162","$119,219,978","$137,654,496","$51,716,492","$170,936,470"
22,"Jul 23, 2010",Salt,Original Screenplay,"$130,000,000","$36,011,243","$118,311,368","$136,605,397","$172,339,126","$290,650,494"
23,"Oct 15, 2010",Jackass 3D,Based on TV,"$20,000,000","$50,353,641","$117,229,692","$135,355,761","$54,456,101","$171,685,793"
24,"Feb 12, 2010",Valentine's Day,Original Screenplay,"$52,000,000","$56,260,707","$110,485,654","$127,569,617","$107,083,674","$217,569,328"
25,"May 14, 2010",Robin Hood,Based on Folk Tale/Legend/Fairytale,"$210,000,000","$36,063,385","$105,487,148","$121,798,213","$216,971,858","$322,459,006"
26,"Dec 10, 2010",The Chronicles of Narnia: The Voyage …,Based on Fiction Book/Short Story,"$155,000,000","$24,005,069","$104,386,950","$120,426,201","$313,800,000","$418,186,950"
27,"Aug 13, 2010",The Expendables,Original Screenplay,"$82,000,000","$34,825,135","$103,068,524","$119,005,606","$165,199,650","$268,268,174"
28,"Nov 5, 2010",Due Date,Original Screenplay,"$65,000,000","$32,689,406","$100,539,043","$116,077,388","$111,200,000","$211,739,043"
29,"Dec 17, 2010",Yogi Bear,Based on TV,"$80,000,000","$16,411,322","$100,246,011","$115,545,792","$104,528,679","$204,774,690"
30,"Apr 9, 2010",Date Night,Original Screenplay,"$55,000,000","$25,207,599","$98,711,404","$113,974,764","$53,557,629","$152,269,033"
31,"Oct 1, 2010",The Social Network,Based on Real Life Events,"$40,000,000","$22,445,653","$96,962,694","$111,933,859","$127,959,441","$224,922,135"
32,"May 27, 2010",Sex and the City 2,Based on TV,"$95,000,000","$31,001,870","$95,347,692","$110,090,934","$199,333,086","$294,680,778"
33,"Jan 15, 2010",The Book of Eli,Original Screenplay,"$80,000,000","$32,789,494","$94,835,059","$109,499,039","$63,915,758","$158,750,817"
34,"Sep 17, 2010",The Town,Based on Fiction Book/Short Story,"$37,000,000","$23,808,032","$92,186,262","$106,440,593","$60,380,619","$152,566,881"
35,"May 28, 2010",Prince of Persia: Sands of Time,Based on Game,"$200,000,000","$30,095,259","$90,759,676","$104,793,487","$245,600,000","$336,359,676"
36,"Oct 15, 2010",Red,Based on Comic/Graphic Novel,"$60,000,000","$21,761,408","$90,380,162","$104,350,194","$106,059,531","$196,439,693"
37,"Feb 12, 2010",Percy Jackson & the Olympians: The Li…,Based on Fiction Book/Short Story,"$95,000,000","$31,236,067","$88,768,303","$102,494,196","$134,282,571","$223,050,874"
38,"Nov 12, 2010",Unstoppable,Based on Real Life Events,"$95,000,000","$22,688,457","$81,562,942","$94,162,500","$84,157,979","$165,720,921"
39,"Aug 13, 2010",Eat Pray Love,Based on Factual Book/Article,"$60,000,000","$23,104,523","$80,574,010","$93,032,860","$126,024,779","$206,598,789"
40,"Feb 5, 2010",Dear John,Based on Fiction Book/Short Story,"$25,000,000","$30,468,614","$80,014,842","$92,387,225","$62,018,667","$142,033,509"
